scenario,focal,rowid,estimate,p.value,s.value,conf.low,conf.high,deltafhcl,dmhr_sancgoal,ifhpol,contelection,lnondmhrsancgoal,t1nodmhrsancgoal,t2nodmhrsancgoal,t3nodmhrsancgoal,couprev,df,term,contrast,std.error,statistic,predicted_lo,predicted_hi,predicted,eu_dmhrsancgoal,noeudemsanct1,noeudemsanct2,noeudemsanct3,us_dmhrsancgoal,nousdemsanct1,nousdemsanct2,nousdemsanct3
Model 1: coup scenarios,couprev,1,0.006532958849490719,6.082500360650473e-25,80.44353787147845,0.0029423474084958588,0.014441806192620291,0,0,3.821028659610375,0,0,10,100,1000,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Model 1: coup scenarios,couprev,2,0.525590269165514,0.8637758176573902,0.21127116759238787,0.29322915989028836,0.7473735576516161,0,0,3.821028659610375,0,0,10,100,1000,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Model 1: coup first difference,couprev,1,0.5190573103160233,4.896911207097617e-4,10.995840342833242,0.2741658118717566,0.76394880876029,0,0,3.821028659610375,0,0,10,100,1000,0,NA,couprev,1 - 0,0.14888345955630236,3.486332947010373,0.006532958849490719,0.525590269165514,NA,NA,NA,NA,NA,NA,NA,NA,NA
Model 1: election first difference,contelection,1,0.0735968055274045,0.055524578016761375,4.170729666350764,0.010373897149495673,0.13681971390531333,0,0,3.821028659610375,0,0,10,100,1000,0,NA,contelection,1 - 0,0.038436799081681496,1.9147485557006183,0.006532958849490719,0.08012976437689522,NA,NA,NA,NA,NA,NA,NA,NA,NA
Model 3: coup scenarios,couprev,1,0.007224074138890442,1.858001559496671e-21,68.8667382800006,0.003096614592809871,0.01676050667404582,0,NA,3.7201085771016382,0,0,NA,NA,NA,0,Inf,NA,NA,NA,NA,NA,NA,NA,0,10,100,1000,NA,NA,NA,NA
Model 3: coup scenarios,couprev,2,0.2389597267936961,0.0562900027428625,4.150977471270291,0.10371513867726023,0.46004231612697444,0,NA,3.7201085771016382,0,0,NA,NA,NA,1,Inf,NA,NA,NA,NA,NA,NA,NA,0,10,100,1000,NA,NA,NA,NA
Model 3: coup first difference,couprev,1,0.23173565265480564,0.03437480116933119,4.862504821060232,0.051568004771371606,0.41190330053823965,0,NA,3.7201085771016382,0,0,NA,NA,NA,0,NA,couprev,1 - 0,0.10953415242020771,2.115647471902592,0.007224074138890442,0.2389597267936961,NA,0,10,100,1000,NA,NA,NA,NA
Model 3: election first difference,contelection,1,0.0836043600305569,0.08351263554708112,3.581861694439629,0.004145061697548719,0.1630636583635651,0,NA,3.7201085771016382,0,0,NA,NA,NA,0,NA,contelection,1 - 0,0.04830782328046778,1.730658811620695,0.007224074138890442,0.09082843416944734,NA,0,10,100,1000,NA,NA,NA,NA
Model 4: coup scenarios,couprev,1,0.003809905962110814,2.203782030914278e-35,115.12750178247973,0.0018258300227004768,0.007932884159509622,0,NA,3.7802007427263766,0,0,NA,NA,NA,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,100,1000
Model 4: coup scenarios,couprev,2,0.3499432314215643,0.39681474894205876,1.3334624455987547,0.13925718993257571,0.6417334431690614,0,NA,3.7802007427263766,0,0,NA,NA,NA,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,100,1000
Model 4: coup first difference,couprev,1,0.34613332545945347,0.03656235165730226,4.773497323557708,0.07380296706663103,0.6184636838522759,0,NA,3.7802007427263766,0,0,NA,NA,NA,0,NA,couprev,1 - 0,0.165565101921897,2.0906176569911272,0.003809905962110814,0.3499432314215643,NA,NA,NA,NA,NA,0,10,100,1000
Model 4: election first difference,contelection,1,0.03204564645992418,0.0627904698898561,3.993310581071531,0.0037169621396704114,0.06037433078017795,0,NA,3.7802007427263766,0,0,NA,NA,NA,0,NA,contelection,1 - 0,0.01722261717157009,1.8606722857907405,0.003809905962110814,0.035855552422034996,NA,NA,NA,NA,NA,0,10,100,1000
